Date,pm25,pm10,no2,co,o3,so2
2025-04-01,100,57,13,0,0,0
2025-04-02,142,40,14,0,0,0
2025-04-03,109,37,12,0,0,0
2025-04-04,101,46,15,0,0,0
2025-04-05,120,53,12,0,0,0
2025-04-06,133,50,10,0,0,0
2025-04-07,128,55,12,0,0,0
2025-04-08,138,40,13,0,0,0
2025-04-09,105,40,10,0,0,0
2025-04-10,107,46,11,0,0,0
2025-04-11,120,53,13,0,0,0
2025-04-12,130,40,10,0,0,0
2025-04-13,82,62,12,0,0,0
2025-04-14,122,48,14,0,0,0
2025-04-15,109,58,15,0,0,0
2025-04-16,118,44,12,0,0,0
2025-04-17,109,0,0,0,0,0
2025-01-07,166,57,15,0,0,0
2025-01-08,142,57,14,0,0,0
2025-01-09,144,31,9,0,0,0
2025-01-10,86,36,11,0,0,0
2025-01-11,98,56,14,0,0,0
2025-01-12,136,61,17,0,0,0
2025-01-13,145,66,18,0,0,0
2025-01-14,153,67,18,0,0,0
2025-01-15,152,61,18,0,0,0
2025-01-16,146,57,18,0,0,0
2025-01-17,143,75,18,0,0,0
2025-01-18,167,74,14,0,0,0
2025-01-19,167,90,19,0,0,0
2025-01-20,192,65,18,0,0,0
2025-01-21,151,54,16,0,0,0
2025-01-22,135,46,13,0,0,0
2025-01-23,119,41,10,0,0,0
2025-01-24,109,36,9,0,0,0
2025-01-25,97,18,10,0,0,0
2025-01-26,54,42,11,0,0,0
2025-01-27,100,40,9,0,0,0
2025-01-28,98,51,9,0,0,0
2025-01-29,128,50,9,0,0,0
2025-01-30,126,27,11,0,0,0
2025-01-31,77,28,7,0,0,0
2025-02-01,78,23,11,0,0,0
2025-02-02,67,15,7,0,0,0
2025-02-03,47,20,8,0,0,0
2025-02-04,64,36,12,0,0,0
2025-02-05,98,48,13,0,0,0
2025-02-06,121,10,7,0,0,0
2025-02-07,28,15,9,0,0,0
2025-02-08,45,35,10,0,0,0
2025-02-09,100,66,17,0,0,0
2025-02-10,158,66,16,0,0,0
2025-02-11,155,68,14,0,0,0
2025-02-12,159,56,17,0,0,0
2025-02-13,138,44,13,0,0,0
2025-02-14,116,44,13,0,0,0
2025-02-15,113,15,9,0,0,0
2025-02-16,45,37,13,0,0,0
2025-02-17,98,20,13,0,0,0
2025-02-18,60,38,15,0,0,0
2025-02-19,103,55,16,0,0,0
2025-02-20,136,47,16,0,0,0
2025-02-21,121,56,18,0,0,0
2025-02-22,139,21,9,0,0,0
2025-02-23,58,17,13,0,0,0
2025-02-24,53,34,12,0,0,0
2025-02-25,92,30,14,0,0,0
2025-02-26,83,63,15,0,0,0
2025-02-27,154,45,13,0,0,0
2025-02-28,117,39,13,0,0,0
2025-03-01,102,28,12,0,0,0
2025-03-02,81,27,14,0,0,0
2025-03-03,76,36,11,0,0,0
2025-03-04,100,39,10,0,0,0
2025-03-05,104,25,7,0,0,0
2025-03-06,68,23,8,0,0,0
2025-03-07,67,44,10,0,0,0
2025-03-08,119,67,12,0,0,0
2025-03-09,153,66,11,0,0,0
2025-03-10,156,51,11,0,0,0
2025-03-11,130,33,11,0,0,0
2025-03-12,91,32,8,0,0,0
2025-03-13,89,38,9,0,0,0
2025-03-14,102,31,9,0,0,0
2025-03-15,87,16,7,0,0,0
2025-03-16,45,33,11,0,0,0
2025-03-17,91,40,10,0,0,0
2025-03-18,107,28,9,0,0,0
2025-03-19,80,37,12,0,0,0
2025-03-20,97,60,16,0,0,0
2025-03-21,146,52,17,0,0,0
2025-03-22,133,53,13,0,0,0
2025-03-23,137,55,13,0,0,0
2025-03-24,139,57,15,0,0,0
2025-03-25,136,43,11,0,0,0
2025-03-26,112,47,11,0,0,0
2025-03-27,120,42,10,0,0,0
2025-03-28,113,27,8,0,0,0
2025-03-29,74,16,7,0,0,0
2025-03-30,47,27,7,0,0,0
2025-03-31,75,37,10,0,0,0
2021-04-01,64,18,13,3,0,0
2021-04-02,25,14,14,2,0,0
2021-04-03,16,44,15,3,0,0
2021-04-04,60,51,15,5,0,0
2021-04-05,78,58,15,4,0,0
2021-04-06,91,28,15,3,0,0
2021-04-07,38,36,15,2,0,0
2021-04-08,49,8,14,3,0,0
2021-04-09,9,30,17,5,0,0
2021-04-10,45,59,16,4,0,0
2021-04-11,89,21,16,2,0,0
2021-04-12,24,11,13,1,0,0
2021-04-13,11,19,14,2,0,0
2021-04-14,23,10,11,2,0,0
2021-04-15,11,9,12,2,0,0
2021-04-16,9,15,13,3,0,0
2021-04-17,17,22,17,5,0,0
2021-04-18,30,39,13,3,0,0
2021-04-19,55,17,13,1,0,0
2021-04-20,21,10,12,1,0,0
2021-04-21,11,16,12,1,0,0
2021-04-22,16,9,13,2,0,0
2021-04-23,9,11,12,2,0,0
2021-04-24,11,13,12,2,0,0
2021-04-25,14,12,15,3,0,0
2021-04-26,13,5,16,4,0,0
2021-04-27,6,18,15,4,0,0
2021-04-28,24,2,13,2,0,0
2021-04-29,2,0,0,0,0,0
2021-05-03,5,7,17,2,0,0
2021-05-04,6,8,12,1,0,0
2021-05-05,7,0,0,0,0,0
2021-02-17,27,42,13,3,0,0
2021-02-18,64,74,13,4,0,0
2021-02-19,127,60,16,3,0,0
2021-02-20,107,61,17,2,0,0
2021-02-21,93,40,13,1,0,0
2021-02-22,59,36,14,2,0,0
2021-02-23,55,49,16,1,0,0
2021-02-24,68,40,13,1,0,0
2021-02-25,57,23,11,2,0,0
2021-02-26,26,28,14,3,0,0
2021-02-27,43,50,15,5,0,0
2021-02-28,85,66,17,6,0,0
2021-03-01,107,19,14,4,0,0
2021-03-02,25,34,15,4,0,0
2021-03-03,50,55,17,5,0,0
2021-03-04,89,52,16,6,0,0
2021-03-05,85,54,15,6,0,0
2021-03-06,81,36,13,3,0,0
2021-03-07,46,59,12,4,0,0
2021-03-08,94,23,11,2,0,0
2021-03-09,30,18,12,1,0,0
2021-03-10,22,13,12,2,0,0
2021-03-11,16,27,12,2,0,0
2021-03-12,37,34,13,3,0,0
2021-03-13,50,38,14,2,0,0
2021-03-14,59,26,17,2,0,0
2021-03-15,37,44,11,2,0,0
2021-03-16,58,25,12,2,0,0
2021-03-17,32,18,13,2,0,0
2021-03-18,23,14,11,2,0,0
2021-03-19,17,14,12,2,0,0
2021-03-20,16,16,13,2,0,0
2021-03-21,17,27,13,3,0,0
2021-03-22,36,41,17,3,0,0
2021-03-23,57,39,18,4,0,0
2021-03-24,56,65,14,4,0,0
2021-03-25,106,58,16,3,0,0
2021-03-26,86,23,14,2,0,0
2021-03-27,32,32,12,2,0,0
2021-03-28,44,78,12,3,0,0
2021-03-29,131,64,17,4,0,0
2021-03-30,99,54,16,4,0,0
2021-03-31,77,49,13,2,0,0
2025-01-06,0,69,18,0,0,0
2021-05-02,0,6,13,1,0,0
2021-02-16,0,19,11,3,0,0
